Stelpro Get Remote Temperature,"Retrieves the temperature from a sensor and sends it to a specific Stelpro thermostat."
Coffee After Shower,"This app is designed simply to turn on your coffee machine while you are taking a shower."
Auto Humidity Vent,"When the humidity reaches a specified level, activate one or more vent fans until the humidity is reduced to a specified level."
Ready For Rain,"Warn if doors or windows are open when inclement weather is approaching."
Safe Watch,"Watch a series of sensors for any anomalies for securing a safe."
Hall Light: Welcome Home,"Turn on the hall light if someone comes home (presence) and the door opens."
Forgiving Security,"Alerts you if something happens while you're away.  Has a settable grace period to compensate for presence sensors that may take a few seconds to be noticed."
Door Knocker,"Alert if door is knocked, but not opened."
Nobody Home,"When everyone leaves, change mode.  If at least one person home, switch mode based on sun position."
Thermostat Window Check,"If your heating or cooling system come on, it gives you notice if there are any windows or doors left open, preventing the system from working optimally."
Jawbone Button Notifier,"Send push notifications or text messages with your Jawbone Up when you hold the button."
Jawbone UP (Connect),"Connect your Jawbone UP to SmartThings"
Tcp Bulbs (Connect),"Connect your TCP bulbs to SmartThings using Cloud to Cloud integration. You must create a remote login acct on TCP Mobile App."
Quirky (Connect),"Connect your Quirky to SmartThings."
Lighting Director,"Control up to 4 sets (scenarios) of lights based on motion, door contacts and illuminance levels."
Hello, Home Phrase Director,"Monitor a set of presence sensors and activate Hello, Home phrases based on whether your home is empty or occupied.  Each presence status change will check against the current 'sun state' to run phrases based on occupancy and whether the sun is up or down."
Vacation Lighting Director,"Randomly turn on/off lights to simulate the appearance of a occupied home while you are away."
Routine Director,"Monitor a set of presence sensors and activate routines based on whether your home is empty or occupied.  Each presence status change will check against the current 'sun state' to run routines based on occupancy and whether the sun is up or down."
Thermostat Mode Director,"Changes mode of your thermostat based on the temperature range of a specified temperature sensor and shuts off the thermostat if any windows/doors are open."
Spruce Scheduler,"Setup schedules for Spruce irrigation controller"
Good Night House,"Some on, some off with delay for bedtime, Lock The Doors"
Lock it at a specific time,"Make sure a door is locked at a specific time.  Option to add door contact sensor to only lock if closed."
